InChIKey,SMILES,Mutagenicity_target
RRVIAQKBTUQODI-UHFFFAOYSA-N,CNC(=O)N(C)c1nc2ccccc2s1,0
MROJXXOCABQVEF-UHFFFAOYSA-N,CC(=O)Nc1ccc(CC(=O)O)cc1,0
AGRCPNMCOXLKFO-UHFFFAOYSA-N,CN(N=O)C(=O)NC(C=O)C(O)C(O)C(O)CO,1
WNTGYJSOUMFZEP-UHFFFAOYSA-N,Cc1cc(Cl)ccc1OC(C)C(=O)O,0
CNIULSUYTFOEHN-UHFFFAOYSA-N,CC1CC2OC(=O)C3(C)C2C(OC3(C)O)C2(C)C(=O)C=CC12,0
GPMYDZBSYQUDJZ-UHFFFAOYSA-N,CCOc1ccc(N(O)C(C)=O)cc1,1
KQRJATLINVYHEZ-UHFFFAOYSA-N,Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],1
LTNYDSMDSLOMSM-UHFFFAOYSA-N,O=[N+]([O-])c1ccc2c(c1)NCC2,1
QVZCXCJXTMIDME-UHFFFAOYSA-N,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,0
NIKHGUQULKYIGE-UHFFFAOYSA-N,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1C3,0
RCFKQVLHWYOSFF-UHFFFAOYSA-N,O=NN1CCCCCCC1,1
DNRJTBAOUJJKDY-UHFFFAOYSA-N,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0
BXFOFFBJRFZBQZ-UHFFFAOYSA-N,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,1
CZZZABOKJQXEBO-UHFFFAOYSA-N,Cc1ccc(N)c(C)c1,1
BMIPMKQAAJKBKP-UHFFFAOYSA-N,Cc1cc(C)c(N)cc1C,1
MMYHZEDBTMXYAF-UHFFFAOYSA-N,O=P(O)(O)Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O,0
PSFDQSOCUJVVGF-UHFFFAOYSA-N,Cc1nccc2c1[nH]c1ccccc12,1
WOCXQMCIOTUMJV-UHFFFAOYSA-N,NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],1
UMKFEPPTGMDVMI-UHFFFAOYSA-N,O=P1(N(CCCl)CCCl)OCCCN1CCCl,1
ZCJPOPBZHLUFHF-UHFFFAOYSA-N,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1,0
NIJIQSOYZWDHAQ-UHFFFAOYSA-N,COP(=O)(SC)SC,0
PLRACCBDVIHHLZ-UHFFFAOYSA-N,CN1CC=C(c2ccccc2)CC1,0
FSYXMFXBRJFYBS-UHFFFAOYSA-N,C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1
QQRIRFIZTPHLEM-UHFFFAOYSA-N,Cc1ccc2nc3ccccc3c(N)c2c1,1
LWEBYMLDVJZRKF-UHFFFAOYSA-N,Nc1c2ccccc2nc2ccc(Cl)cc12,1
XGCUCFKWVIWWNW-UHFFFAOYSA-N,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,0
UKOTXHQERFPCBU-UHFFFAOYSA-N,CC1=CC2OC3C(O)C(O)C(C)(C34CO4)C2(CO)C(O)C1=O,0
FBHPVOLRIXZZMD-UHFFFAOYSA-N,COC(=O)C(N)Cc1ccc(Cl)cc1,0
QGHREAKMXXNCOA-UHFFFAOYSA-N,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,1
SRBMBMSGNPWLNM-UHFFFAOYSA-N,CCN(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2,1
SHHKQEUPHAENFK-UHFFFAOYSA-N,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O,1
DYHSDKLCOJIUFX-UHFFFAOYSA-N,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,0
JJVKJJNCIILLRP-UHFFFAOYSA-N,CCc1cccc(C)c1N,1
ZQBWQLJJMGJREB-UHFFFAOYSA-N,O=CNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1
QGTYWWGEWOBMAK-UHFFFAOYSA-N,CCOP(=S)(OCC)SCCl,0
ZOMSMJKLGFBRBS-UHFFFAOYSA-N,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,0
OECTYKWYRCHAKR-UHFFFAOYSA-N,C1CC2OC2CC1C1CO1,1
BBPLSOGERZQYQC-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)COc1ccc(Cl)cc1Cl,0
WVRNUXJQQFPNMN-UHFFFAOYSA-N,CCCCCCCCCCC=CC1CC(=O)OC1=O,0
QTAGQHZOLRFCBU-UHFFFAOYSA-N,CC1(C)OC1COc1c2ccoc2cc2oc(=O)ccc12,0
YJTKZCDBKVTVBY-UHFFFAOYSA-N,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,0
JPMIIZHYYWMHDT-UHFFFAOYSA-N,CCCCCCCCn1sccc1=O,0
AIBRSVLEQRWAEG-UHFFFAOYSA-N,CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,0
ZVFDTKUVRCTHQE-UHFFFAOYSA-N,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,0
OEQQFQXMCPMEIH-UHFFFAOYSA-N,Nc1nc2c(Cl)cccc2s1,0
CZNLTCTYLMYLHL-UHFFFAOYSA-N,CCCCCCCC(=O)CCc1ccc(O)c(OC)c1,0
HWTDMFJYBAURQR-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1S(=O)(=O)O,0
RJKGJBPXVHTNJL-UHFFFAOYSA-N,O=[N+]([O-])c1cccc2ccccc12,1
ZUTCJXFCHHDFJS-UHFFFAOYSA-N,O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12,1
IJFPVINAQGWBRJ-UHFFFAOYSA-N,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,0
MPMFCABZENCRHV-UHFFFAOYSA-N,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,1
XPAZGLFMMUODDK-UHFFFAOYSA-N,O=[N+]([O-])c1ccc2nc[nH]c2c1,1
WRFTYMHHWSAKSK-UHFFFAOYSA-N,Cc1cc(O)c2c(c1)C(=O)C(c1c(C)cc3c(c1O)C(=O)C=CC3=O)=CC2=O,0
PHPWISAFHNEMSR-UHFFFAOYSA-N,CC(=O)Nc1cccc2c1-c1ccccc1C2,1
IVVWBIJMWBNKFV-UHFFFAOYSA-N,Nc1ccc(Oc2ccc(N)c(Cl)c2)cc1Cl,1
HJGHXDNIPAWLLE-UHFFFAOYSA-N,OCC=CCl,1
VJHINFRRDQUWOJ-UHFFFAOYSA-N,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0
DXPPIEDUBFUSEZ-UHFFFAOYSA-N,C=CC(=O)OCCCCCC(C)C,0
RYUJRXVZSJCHDZ-UHFFFAOYSA-N,CC(C)CCCCCCCOP(=O)(Oc1ccccc1)Oc1ccccc1,0
COCLLEMEIJQBAG-UHFFFAOYSA-N,C=C(C)C(=O)OCCCCCCCC(C)C,0
YASYVMFAVPKPKE-UHFFFAOYSA-N,COP(=O)(NC(C)=O)SC,0
VBICKXHEKHSIBG-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0
QRKJNCRCYBKANP-UHFFFAOYSA-N,NCC(=O)Nc1ccccc1,1
GFBDGCLMYOEFQI-UHFFFAOYSA-N,CN(C)C1Cc2cccc3cccc(c23)C1,1
VBZWSGALLODQNC-UHFFFAOYSA-N,O=C(C(F)(F)F)C(F)(F)F,0
RJYQLMILDVERHH-UHFFFAOYSA-N,CC(O)CCC(=O)c1ccoc1,0
VFTFKUDGYRBSAL-UHFFFAOYSA-N,C1COCCOCCOCCOCCO1,0
FVLVBPDQNARYJU-UHFFFAOYSA-N,CC1CCC(NC(=O)N(CCCl)N=O)CC1,1
WBUUFZCQNOOKOG-UHFFFAOYSA-O,C[n+]1c(-c2ccc(N)cc2)c2cc(N)ccc2c2ccc(N)cc21,1
MLBDNMLMTHXYQX-UHFFFAOYSA-N,CC(=O)N(C)c1ccc(N=Nc2ccc(N(C)C)cc2)cc1,1
BFTGQIQVUVTBJU-UHFFFAOYSA-N,S=C1SSC2=NCCN12,0
DHOYZNRIPLSCPT-UHFFFAOYSA-N,CN(C#N)N=O,1
VTNQPKFIQCLBDU-UHFFFAOYSA-N,CCOCN(C(=O)CCl)c1c(C)cccc1CC,0
KEMXXQOFIRIICG-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,0
FLEWLXKAEGLVCO-UHFFFAOYSA-N,CC(=O)N(C)c1ccc(N=Nc2ccc(N(C)C(C)=O)cc2)cc1,0
STGCUJXPWRUKEI-UHFFFAOYSA-N,O=C(O)CC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O,0
SFBODOKJTYAUCM-UHFFFAOYSA-N,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0
QKVWBAMZPUHCMO-UHFFFAOYSA-N,SCCc1cnccn1,0
QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)c1ccc(O)cc1,0
QQQYTWIFVNKMRW-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,0
IEEJAAUSLQCGJH-UHFFFAOYSA-N,Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-],1
DHVLDKHFGIVEIP-UHFFFAOYSA-N,N#CCCC(Br)(C#N)CBr,0
QEJPOEGPNIVDMK-UHFFFAOYSA-N,OCC(CBr)(CBr)CBr,1
CBPKIOGAUWKEFT-UHFFFAOYSA-N,O=P(O)(OCC(Br)CBr)OCC(Br)CBr,1
DQGFCLJXYFXXIJ-WJDWOHSUSA-N,CC(C)=C/C(C)=N/Nc1nncc2ccccc12,1
FMGYKKMPNATWHP-UHFFFAOYSA-N,C[n+]1ccc(-c2ccccc2)cc1,0
FAGUFWYHJQFNRV-UHFFFAOYSA-N,NCCNCCNCCNCCN,1
ZDVDVLRYVOZWMP-UHFFFAOYSA-O,COc1cc2c(cc1O)CC1c3c(cc(OC)c(O)c3-2)CC[N+]1(C)C,0
OWEGWHBOCFMBLP-UHFFFAOYSA-N,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,0
LMIMSGCBKHFTDY-UHFFFAOYSA-N,CCN(C#N)N=O,1
LWOWNIPZHGWKNR-UHFFFAOYSA-N,O=C(O)C=Cc1ccc([N+](=O)[O-])o1,1
TZFNLOMSOLWIDK-UHFFFAOYSA-N,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,1
BAHPQISAXRFLCL-UHFFFAOYSA-N,COc1ccc(N)cc1N,1
XQUXKZZNEFRCAW-UHFFFAOYSA-N,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,0
RANONBLIHMVXAJ-UHFFFAOYSA-N,O=P1(N(CCCl)CCCl)NC(O)CCO1,1
MXFIBWNLCQBCCN-UHFFFAOYSA-N,CCC1(CC(=O)O)OCCc2c1[nH]c1c(C)cccc21,0
UVSDNCAZVSQJQA-UHFFFAOYSA-N,CCc1cccc2c(CCO)c[nH]c12,0
MQOBSOSZFYZQOK-UHFFFAOYSA-N,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0
XRHGWAGWAHHFLF-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,1
SUSRORUBZHMPCO-UHFFFAOYSA-N,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1
UIDGJTUNLMQGLT-UHFFFAOYSA-N,O=NN1CC(=O)NC1=O,1
SHQGIYUBFHJOPP-UHFFFAOYSA-N,CC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O,0
URNSECGXFRDEDC-UHFFFAOYSA-N,CC(=O)N=C1C=CC(=O)C=C1,0
JJIUCEJQJXNMHV-UHFFFAOYSA-N,CCOP(C)(=O)SCCN(C(C)C)C(C)C,0
DSBIJCMXAIKKKI-UHFFFAOYSA-N,Cc1ccc([N+](=O)[O-])cc1N,1
IPVMCZLCKVSKGC-UHFFFAOYSA-N,ClCC1(CCl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,0
VOWZNBNDMFLQGM-UHFFFAOYSA-N,Cc1ccc(C)c(N)c1,1
RRHGJUQNOFWUDK-UHFFFAOYSA-N,C=CC(=C)C,0
KAATUXNTWXVJKI-UHFFFAOYSA-N,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0
XREUEWVEMYWFFA-UHFFFAOYSA-N,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O,1
OWZREIFADZCYQD-UHFFFAOYSA-N,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0
MNIGYIKCFSPQRJ-UHFFFAOYSA-N,CC(O)CN(CC(C)O)N=O,1
JSJCTEKTBOKRST-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,0
QPCVHQBVMYCJOM-UHFFFAOYSA-N,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,0
MKQWTWSXVILIKJ-UHFFFAOYSA-N,O=CC(NC(=O)N(CCCl)N=O)C(O)C(O)C(O)CO,1
PCLRPEZTOOYTNQ-UHFFFAOYSA-N,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(N)cc12,1
UAIUNKRWKOVEES-UHFFFAOYSA-N,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,0
VXTQFTUOAJRUDO-UHFFFAOYSA-N,CC(C)(O)CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41O,1
YGRFRBUGAPOJDU-UHFFFAOYSA-N,Cc1ccc(NCCO)cc1O,0
VFEDRRNHLBGPNN-UHFFFAOYSA-N,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,1
VQRKVYYIQBNKGQ-UHFFFAOYSA-N,CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1,0
JUHFQCKQQLMGAB-UHFFFAOYSA-N,CC(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,0
GSPFUBNBRPVALJ-UHFFFAOYSA-N,CC(=O)OC1C2OC2C2=CC(=O)C3(CC2(C)C1C)OC3(C)C=O,1
RXZTWBVFHQLTBU-UHFFFAOYSA-N,CC(C(=O)O)c1ccc(Oc2nccs2)cc1,0
KYIAWOXNPBANEW-UHFFFAOYSA-N,CC(O)CN(C)c1ccc(NN)nn1,1
AJQOASGWDCBKCJ-UHFFFAOYSA-N,CCCCOCC(=O)O,0
WBXQXRXMGCOVHA-UHFFFAOYSA-N,CC(=O)OCN(C)N=O,1
NDSFAFIRRXLJNE-UHFFFAOYSA-N,CC(=O)c1cc(N)ccc1OCC(O)CNC(C)(C)C,0
JEQPRXXJGYCINZ-UHFFFAOYSA-N,CC(=O)c1cc(NC(N)=O)ccc1OCC(O)CNC(C)(C)C,1
YMUAXKYTHNCMAS-UHFFFAOYSA-N,CCCCN(COC(C)=O)N=O,1
JOATXPAWOHTVSZ-UHFFFAOYSA-N,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,0
ISAGWVHNBWLXLM-UHFFFAOYSA-N,CCNC(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,0
HJFOOUMUEFZBDQ-UHFFFAOYSA-N,CC(=O)c1cc(NC(=O)NC(C)(C)C)ccc1OCC(O)CNC(C)(C)C,0
DGRGLKZMKWPMOH-UHFFFAOYSA-N,Cc1ccc(N)c(N)c1,1
KDSNLYIMUZNERS-UHFFFAOYSA-N,CC(C)CN,0
XDXDZDZNSLXDNA-UHFFFAOYSA-N,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1ccccc1C3=O,1
SSEBTPPFLLCUMN-UHFFFAOYSA-N,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,0
OUPZKGBUJRBPGC-UHFFFAOYSA-N,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,1
ZBEKOEYCWKIMGU-UHFFFAOYSA-N,CCN1CCNC(=O)C1=O,0
JWFMCQPAQYKFDP-UHFFFAOYSA-N,NC(=O)N(CC(=O)O)N=O,0
VGURJTTWZISZJM-UHFFFAOYSA-N,CC(=O)OC(C)CN(CC(C)OC(C)=O)N=O,1
LJZPVWKMAYDYAS-UHFFFAOYSA-N,CCC1(O)CC(OC2CC(N(C)C)C(O)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC,1
AKRYBBWYDSDZHG-UHFFFAOYSA-N,CC(=O)CN(CC(C)=O)N=O,1
YJZJEQBSODVMTH-UHFFFAOYSA-N,O=NN(CCCl)C(=O)NCCO,1
AOCCBINRVIKJHY-UHFFFAOYSA-N,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,0
APUDBKTWDCXQJA-UHFFFAOYSA-N,CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,0
OIAQMFOKAXHPNH-UHFFFAOYSA-N,c1ccc(-c2ccccc2-c2ccccc2)cc1,0
LVTKHGUGBGNBPL-UHFFFAOYSA-N,Cc1c(N)nc(C)c2c1[nH]c1ccccc12,1
SLTNUKIKMOOUID-UHFFFAOYSA-N,CN(N=O)C(=O)c1ccccc1,1
WQTCZINVPXJNEL-UHFFFAOYSA-N,Cc1cc(S(=O)(=O)O)ccc1N,0
PXKJRTZJMGPOGS-UHFFFAOYSA-N,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,1
IGLKULAEHPBIJL-UHFFFAOYSA-N,Nc1ccc2c(c1)[nH]c1ccccc12,1
LRSYZHFYNDZXMU-UHFFFAOYSA-N,Nc1ccc2[nH]c3ccccc3c2c1,1
LFLBHTZRLVHUQC-UHFFFAOYSA-N,CCCCOS(C)(=O)=O,1
AIMXMLCYGWOKDI-UHFFFAOYSA-N,Cn1c2ccccc2c2cc(N)ccc21,1
ITSGNOIFAJAQHJ-UHFFFAOYSA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)CC(C)O1,1
NJLGSVSVNHBQEG-UHFFFAOYSA-O,C[n+]1c2ccccc2cc2ccc(N)cc21,1
SQFZLHHJWJODCA-UHFFFAOYSA-O,C[n+]1c2ccccc2c(N)c2ccccc21,1
VDBHOHJWUDKDRW-UHFFFAOYSA-N,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C,0
FLAQQSHRLBFIEZ-UHFFFAOYSA-N,CN(CCCC(=O)c1cccnc1)N=O,1
CKNAQFVBEHDJQV-UHFFFAOYSA-N,Cc1c(-c2cnccn2)ssc1=S,0
UGDPYGKWIHHBMB-UHFFFAOYSA-N,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O,0
JNVGBRQYZHTBTP-UHFFFAOYSA-N,O=C(O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,0
BESOTRXDCHQLBP-UHFFFAOYSA-N,NC(=O)CNC(=O)N(CCCl)N=O,1
HGUYBLVGLMAUFF-UHFFFAOYSA-N,COc1cc(N)ccc1N,1
WNBGYVXHFTYOBY-UHFFFAOYSA-N,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,0
KWKXNDCHNDYVRT-UHFFFAOYSA-N,CCCCCCCCCCCCc1ccccc1,0
IMRYETFJNLKUHK-UHFFFAOYSA-N,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,0
IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,0
PYSAVFUPLJMDHW-UHFFFAOYSA-N,CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC,0
JVBPKACNQGCPNB-UHFFFAOYSA-N,N#CC(C#N)=Cc1ccc([N+](=O)[O-])o1,1
GOPFSGIKKZFUJK-UHFFFAOYSA-N,CN(N=O)c1cccnc1,0
UOWVMDUEMSNCAV-UHFFFAOYSA-N,COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O,0
GUAZPUYTLMUTMA-UHFFFAOYSA-N,CN(C)N=Nc1ccc(C(=O)O)cc1,0
IFOZONXHXWJEQA-UHFFFAOYSA-N,NNC(=O)CNc1ccc2ccccc2c1,0
FIWHJQPAGLNURC-UHFFFAOYSA-N,CC(C)(C)CCCCCC(=O)OCC1CO1,1
UISUNVFOGSJSKD-UHFFFAOYSA-N,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,0
MHGOKSLTIUHUBF-UHFFFAOYSA-N,CCCCC(CC)COS(=O)(=O)O,0
SETMGIIITGNLAS-UHFFFAOYSA-N,CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,0
HLDUHCYBUVVDOT-UHFFFAOYSA-N,O=C(O)c1ccc(NC2OCC(O)C(O)C2O)cc1,0
JBYHSSAVUBIJMK-UHFFFAOYSA-N,C1CSCCO1,0
PROHBUGJUQHONA-UHFFFAOYSA-N,O=NN1CCSC1,1
IAWIJHCUEPVIOO-UHFFFAOYSA-N,OC(Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,0
JACMPVXHEARCBO-UHFFFAOYSA-N,CCCCCNCCCCC,0
MDZVGRUIIJLSTI-UHFFFAOYSA-N,CSC(C)(C)C(=O)NC(CS)C(=O)O,0
JGQGCJKPBAYEHO-UHFFFAOYSA-N,O=C1CN(CCN2CC(=O)N(CN3CCOCC3)C(=O)C2)CC(=O)N1CN1CCOCC1,1
AHAAWQBSARNIMQ-UHFFFAOYSA-N,COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,0
CDLWDALUMQQESW-UHFFFAOYSA-N,CCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12,1
WNZTVJPZHIBPMT-UHFFFAOYSA-N,CCCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12,1
JSDXOWVAHXDYCU-UHFFFAOYSA-N,COC1(NC(=O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0
NITMRIAAAKECLS-WDZFZDKYSA-N,O=C1NCCCN1/N=C/c1ccc([N+](=O)[O-])o1,1
PVBQYTCFVWZSJK-UHFFFAOYSA-O,C[N+](C)(C)NCCC(=O)O,0
NGHTXZCKLWZPGK-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,0
WNTRMRXAGJOLCU-UHFFFAOYSA-N,O=C1OC(O)C(C(Cl)Cl)=C1Cl,1
DJEIHHYCDCTAAH-UHFFFAOYSA-N,COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1,0
KTXBOOWDLPUROC-UHFFFAOYSA-N,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,0
ZKUKMWMSYCIYRD-UHFFFAOYSA-N,Cc1oc(=O)oc1COC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C,0
BSHDUMDXSRLRBI-UHFFFAOYSA-N,O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCS,0
VQHSOMBJVWLPSR-UHFFFAOYSA-N,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0
YTOPFCCWCSOHFV-UHFFFAOYSA-N,CCCCCCCCCCCCCN1CC(C)OC(C)C1,0
JURAJLFHWXNPHG-UHFFFAOYSA-N,CNC(=O)ON(C(C)=O)C(=O)NC,1
OMCPLEZZPVJJIS-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2c1OCC(O[N+](=O)[O-])C2,0
AXMCBAWKHOPUEZ-UHFFFAOYSA-N,CC1(C)SSCC(C(=O)O)NC1=O,0
NVBZUCIQNYPGCI-UHFFFAOYSA-N,NCC1CCC(C(=O)c2ccc(CCC(=O)O)cc2)CC1,0
TUIUTESNLKHOHQ-UHFFFAOYSA-N,CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-],1
JOPZHCIUTNIPAH-UHFFFAOYSA-N,CCN(CCO[N+](=O)[O-])[N+](=O)[O-],1
DDKJQSAECJSUNP-UHFFFAOYSA-N,CC1C(O)CCC2=CC(=O)C3(C4(CO)CO4)OC3C21C,1
KYHFRCPLIGODFH-UHFFFAOYSA-N,CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1,0
RCLLNBVPCJDIPX-UHFFFAOYSA-N,CN(C)S(=O)(=O)CCNC(=O)N(CCCl)N=O,1
GEKRLAMHPJMGFS-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2c1OCC(O)C2,0
NCUCGYYHUFIYNU-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-],0
CTSNHMQGVWXIEG-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2cnc3c(Cl)cccc3n2)cc1,0
SSHXAWUVFBJJMN-UHFFFAOYSA-N,CCCn1cc2c3c(cccc31)C1CC(C)CN(C#N)C1C2,1
ADCDISFHDLKFFS-UHFFFAOYSA-N,C=CCn1cc2c3c(cccc31)C1CC(C)CN(C#N)C1C2,1
XTFPDGZNWTZCMF-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0
YNEKMCSWRMRXIR-UHFFFAOYSA-N,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CCl)C(Cl)C2Cl,1
GQHWDDBALZVXBU-UHFFFAOYSA-N,CCc1cc(O)cc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1
IIJKSRXOHAISPV-UHFFFAOYSA-N,CCC1(CC(=O)O)OCCc2c1[nH]c1c(C(C)O)cccc21,0
FJLUATLTXUNBOT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCN,0
HVYGHQWGUABUST-UHFFFAOYSA-N,CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1,0
KKTIOMQDFOYCEN-UHFFFAOYSA-N,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,0
DUUHLAZWLLCPSP-UHFFFAOYSA-N,Nc1cc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)c4ccc(S(=O)(=O)O)cc34)c(S(=O)(=O)O)cc2cc1S(=O)(=O)O,0
PWEBUXCTKOWPCW-UHFFFAOYSA-N,O=c1c(O)c(O)c1=O,0
