InChIKey,SMILES,Cardiotoxicity-30_target
AGOYDEPGAOXOCK-KCBOHYOISA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0
MQTOSJVFKKJCRP-BICOPXKESA-N,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1
NKANXQFJJICGDU-QPLCGJKRSA-N,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1
LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1
RUDATBOHQWOJDD-UZVSRGJWSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
LEBVLXFERQHONN-UHFFFAOYSA-N,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0
IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1
CGIGDMFJXJATDK-UHFFFAOYSA-N,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0
GSDSWSVVBLHKDQ-JTQLQIEISA-N,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0
HBNPJJILLOYFJU-VMPREFPWSA-N,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,1
CJOFXWAVKWHTFT-ZHZULCJRSA-N,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,1
PSIFNNKUMBGKDQ-UHFFFAOYSA-N,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1
WJBLNOPPDWQMCH-MBPVOVBZSA-N,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1
GFBKORZTTCHDGY-UWVJOHFNSA-N,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,1
VHGCDTVCOLNTBX-QGZVFWFLSA-N,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,1
VGKDLMBJGBXTGI-SJCJKPOMSA-N,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,1
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccccc1,1
ZQDWXGKKHFNSQK-UHFFFAOYSA-N,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1
DRHKJLXJIQTDTD-UHFFFAOYSA-N,CCOc1ccccc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0
SGTNSNPWRIOYBX-UHFFFAOYSA-N,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1
IUBSYMUCCVWXPE-UHFFFAOYSA-N,COCCc1ccc(OCC(O)CNC(C)C)cc1,1
MYSWGUAQZAJSOK-UHFFFAOYSA-N,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0
PHLBKPHSAVXXEF-UHFFFAOYSA-N,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,1
WFNAKBGANONZEQ-UHFFFAOYSA-N,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1
CJOFXWAVKWHTFT-UHFFFAOYSA-N,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,1
RDOIQAHITMMDAJ-UHFFFAOYSA-N,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,1
XEEQGYMUWCZPDN-UHFFFAOYSA-N,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,1
QVYRGXJJSLMXQH-UHFFFAOYSA-N,Cc1ccccc1C(OCCN(C)C)c1ccccc1,1
JWHAUXFOSRPERK-UHFFFAOYSA-N,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,1
FUBVWMNBEHXPSU-UHFFFAOYSA-N,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,1
ALOBUEHUHMBRLE-UHFFFAOYSA-N,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,1
ZBBHBTPTTSWHBA-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,0
OOGJQPCLVADCPB-UHFFFAOYSA-N,Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,1
YXOLAZRVSSWPPT-UHFFFAOYSA-N,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0
LZJRNLRASBVRRX-UHFFFAOYSA-N,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,1
XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1
WDTAYDBPNYFWDR-WOJBJXKFSA-N,COc1cccc2c1[C@@H]1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2,1
UIEATEWHFDRYRU-UHFFFAOYSA-N,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,1
OGHNVEJMJSYVRP-UHFFFAOYSA-N,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,1
UVKZSORBKUEBAZ-UHFFFAOYSA-N,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1
DJBNUMBKLMJRSA-UHFFFAOYSA-N,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,1
JOHZPMXAZQZXHR-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,1
IENZQIKPVFGBNW-UHFFFAOYSA-N,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1
REQCZEXYDRLIBE-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1ccc(N)cc1,0
LOUPRKONTZGTKE-VOMFEXJBSA-N,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,1
QWAXKHKRTORLEM-UGJKXSETSA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,1
YLJREFDVOIBQDA-UHFFFAOYSA-N,Nc1c2c(nc3ccccc13)CCCC2,1
GUGOEEXESWIERI-UHFFFAOYSA-N,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1
UFLGIAIHIAPJJC-UHFFFAOYSA-N,CN(C)CCN(Cc1ccccc1)c1ccccn1,1
ISAKRJDGNUQOIC-UHFFFAOYSA-N,O=c1cc[nH]c(=O)[nH]1,1
NJMYODHXAKYRHW-DVZOWYKESA-N,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
WSEQXVZVJXJVFP-UHFFFAOYSA-N,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1
HCYAFALTSJYZDH-UHFFFAOYSA-N,CNCCCN1c2ccccc2CCc2ccccc21,1
MKXZASYAUGDDCJ-NJAFHUGGSA-N,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,1
HSUGRBWQSSZJOP-RTWAWAEBSA-N,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,1
ADEBPBSSDYVVLD-UHFFFAOYSA-N,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1
QSLMDECMDJKHMQ-UHFFFAOYSA-N,CNCCCC12CCC(c3ccccc31)c1ccccc12,1
FRQMUZJSZHZSGN-HBNHAYAOSA-N,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
LBHIOVVIQHSOQN-UHFFFAOYSA-N,O=C(NCCO[N+](=O)[O-])c1cccnc1,0
XDRYMKDFEDOLFX-UHFFFAOYSA-N,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0
ZGUGWUXLJSTTMA-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2Sc2ccccc21,1
ZKLPARSLTMPFCP-UHFFFAOYSA-N,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
KLBQZWRITKRQQV-UHFFFAOYSA-N,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,1
ZSCDBOWYZJWBIY-UHFFFAOYSA-N,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,1
AGJBLWCLQCKRJP-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,1
YXUBHIRQBSIPFE-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,1
SNTQPLDRUZOSDP-UHFFFAOYSA-N,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,1
PLDUPXSUYLZYBN-UHFFFAOYSA-N,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
UCNVFOCBFJOQAL-UHFFFAOYSA-N,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
KTHVBAZBLKXIHZ-UHFFFAOYSA-N,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,1
ZZHLYYDVIOPZBE-UHFFFAOYSA-N,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,1
IZRPKIZLIFYYKR-UHFFFAOYSA-N,CN(C)CCOc1ccccc1Cc1ccccc1,1
IUWVALYLNVXWKX-UHFFFAOYSA-N,CCCCOC(=O)c1ccc(N)cc1,0
ZMISODWVFHHWNR-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,0
SIYLLGKDQZGJHK-UHFFFAOYSA-N,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,1
VCAVAURZPNANDQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC[N+](C)(C)CC,1
LSQARZALBDFYQZ-UHFFFAOYSA-N,O=C(c1ccc(F)cc1)c1ccc(F)cc1,0
XECQQDXTQRYYBH-UHFFFAOYSA-N,CNCCC=C1c2ccccc2C=Cc2ccccc21,0
YUGZHQHSNYIFLG-UHFFFAOYSA-N,O=C(Nc1ccccc1)OCC(CN1CCCCC1)OC(=O)Nc1ccccc1,1
CAJIGINSTLKQMM-UHFFFAOYSA-N,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,1
OWGJQNXIWMMDTH-UHFFFAOYSA-N,CN1C(CC(O)c2ccccc2)CCCC1CC(O)c1ccccc1,1
DQKXQSGTHWVTAD-UHFFFAOYSA-N,CCCCOc1ccc(OCCCN2CCOCC2)cc1,1
WEUCDJCFJHYFRL-UHFFFAOYSA-N,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1
PTGXAUBQBSGPKF-UHFFFAOYSA-N,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,1
IROINLKCQGIITA-UHFFFAOYSA-N,CCNc1nc(NC(C)(C)C)nc(SC)n1,1
JGLWGLKNDHZFAP-UHFFFAOYSA-N,CCN1C(=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,1
CJXAEXPPLWQRFR-UHFFFAOYSA-N,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,1
IRYFCWPNDIUQOW-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,1
RXPRRQLKFXBCSJ-UHFFFAOYSA-N,CCC12CCCN3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32,1
GPMXUUPHFNMNDH-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,1
FEBOTPHFXYHVPL-UHFFFAOYSA-N,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,1
JTUQXGZRVLWBCR-UHFFFAOYSA-N,CC(COc1ccccc1Cc1ccccc1)N1CCCCC1,1
UVCOILFBWYKHHB-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,1
QUCQEUCGKKTEBI-UHFFFAOYSA-N,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,1
ZQTVCQIJTREKSP-UHFFFAOYSA-N,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,1
GIYAQDDTCWHPPL-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,1
WYJAPUKIYAZSEM-UHFFFAOYSA-N,CCC12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)C32,1
NDNKHWUXXOFHTD-UHFFFAOYSA-N,Cc1sc2ccccc2c1CC1=NCCN1,1
LQQIVYSCPWCSSD-UHFFFAOYSA-N,O=C1CCC(c2ccccc2)(C2CCN(Cc3ccccc3)CC2)C(=O)N1,1
HQFWVSGBVLEQGA-UHFFFAOYSA-N,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,1
DZUOQMBJJSBONO-UHFFFAOYSA-N,COc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3,1
UISARWKNNNHPGI-UHFFFAOYSA-N,CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C,1
FYXWDSGGZAMYFZ-UHFFFAOYSA-N,CCN1C(=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,1
RKLNONIVDFXQRX-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,1
XRYLGRGAWQSVQW-UHFFFAOYSA-N,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,1
AWZOLILCOUMRDG-UHFFFAOYSA-N,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,0
YAPQBXQYLJRXSA-UHFFFAOYSA-N,Cn1cnc2c1c(=O)[nH]c(=O)n2C,0
BTFHLQRNAMSNLC-UHFFFAOYSA-N,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,1
QVZCXCJXTMIDME-UHFFFAOYSA-N,COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,1
RLJFTICUTYVZDG-UHFFFAOYSA-N,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,1
AYYCFGDXLUPJAQ-UHFFFAOYSA-N,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,1
GNUXVOXXWGNPIV-UHFFFAOYSA-N,CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,1
UYNVMODNBIQBMV-UHFFFAOYSA-N,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,1
YSSBJODGIYRAMI-UHFFFAOYSA-N,OC1CCCCC1N1CCC(c2ccccc2)CC1,1
MPIPASJGOJYODL-UHFFFAOYSA-N,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,1
MPTXLVRHYGBOQY-UHFFFAOYSA-N,COc1cc(C(=O)NCCCCCC(=O)O)cc(OC)c1OC,1
APIXJSLKIYYUKG-UHFFFAOYSA-N,CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,1
GZIISXIDAZYOLI-UHFFFAOYSA-N,O=C(CCN1CCC(c2ccccc2)C1)c1ccc2c(c1)OCCO2,1
FOHHNHSLJDZUGQ-UHFFFAOYSA-N,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,1
ZZJYIKPMDIWRSN-UHFFFAOYSA-N,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1,1
DDNCQMVWWZOMLN-UHFFFAOYSA-N,CCOC(=O)C1=CC2(CC)CCCN3CCc4c(n1c1ccccc41)C32,1
CNGZDVMAVFKQNH-UHFFFAOYSA-N,CS(=O)(=O)OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,1
UURAUHCOJAIIRQ-UHFFFAOYSA-N,C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,1
HRRBJVNMSRJFHQ-UHFFFAOYSA-N,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,1
QSQQPMHPCBLLGX-UHFFFAOYSA-N,CNCCCCOc1ccccc1Cc1ccccc1,1
WPSYTTKBGAZSCX-UHFFFAOYSA-N,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,1
WHWZLSFABNNENI-UHFFFAOYSA-N,NC1=NCC2c3ccccc3Cc3ccccc3N12,0
BDVFVCGFMNCYPV-UHFFFAOYSA-N,CC1CNCCN1S(=O)(=O)c1cccc2cnccc12,1
RAVIZVQZGXBOQO-UHFFFAOYSA-N,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,1
XEBRQQXYWHMEQW-UHFFFAOYSA-N,O=C1CCC(c2ccc(Nc3ccncc3)cc2)=NN1,1
DGMKFQYCZXERLX-UHFFFAOYSA-N,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,1
SRUISGSHWFJION-UHFFFAOYSA-N,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,1
FBVFZWUMDDXLLG-UHFFFAOYSA-N,O=C1C2CCCCC2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1,1
WYWIFABBXFUGLM-UHFFFAOYSA-N,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,1
XRXDAJYKGWNHTQ-UHFFFAOYSA-N,c1ccc2nc(N3CCNCC3)ccc2c1,1
CJAVTWRYCDNHSM-UHFFFAOYSA-N,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,1
BCQTVJKBTWGHCX-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,1
UHSKFQJFRQCDBE-UHFFFAOYSA-N,CCCN(CCC)CCc1cccc2c1CC(=O)N2,1
VMWNQDUVQKEIOC-CYBMUJFWSA-N,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,1
LOUPRKONTZGTKE-NBGVHYBESA-N,C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,1
LEBVLXFERQHONN-INIZCTEOSA-N,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,1
LORDFXWUHHSAQU-UHFFFAOYSA-N,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,1
TVZCRIROJQEVOT-CABCVRRESA-N,CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O,1
WFPIAZLQTJBIFN-DVZOWYKESA-N,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,1
SMYALUSCZJXWHG-UHFFFAOYSA-N,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,1
JUQLTPCYUFPYKE-UHFFFAOYSA-N,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
SOYKEARSMXGVTM-HNNXBMFYSA-N,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,1
STECJAGHUSJQJN-USLFZFAMSA-N,CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,0
OBWGMKKHCLHVIE-UHFFFAOYSA-N,CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1,1
WDEABJKSGGRCQA-UHFFFAOYSA-N,CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,1
BAPRUDZDYCKSOQ-RITPCOANSA-N,CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,1
ODQWQRRAPPTVAG-GZTJUZNOSA-N,CN(C)CC/C=C1\c2ccccc2COc2ccccc21,1
NNJPGOLRFBJNIW-HNNXBMFYSA-N,CN[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,1
OROGSEYTTFOCAN-DNJOTXNNSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0
NAUWTFJOPJWYOT-UHFFFAOYSA-N,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1
SNICXCGAKADSCV-JTQLQIEISA-N,CN1CCC[C@H]1c1cccnc1,0
JZUTXVTYJDCMDU-MOPGFXCFSA-N,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3,1
DBGIVFWFUFKIQN-SECBINFHSA-N,CCN[C@H](C)Cc1cccc(C(F)(F)F)c1,0
OSASVXMJTNOKOY-UHFFFAOYSA-N,CC(C)(O)C(Cl)(Cl)Cl,1
YEHCICAEULNIGD-MZMPZRCHSA-N,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1
JGOAIQNSOGZNBX-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,1
BLGXFZZNTVWLAY-SCYLSFHTSA-N,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,1
ZNRGQMMCGHDTEI-FUNVUKJBSA-N,CN1[C@H]2CC[C@@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2,1
YVPXVXANRNDGTA-WDYNHAJCSA-N,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,1
TUFADSGTJUOBEH-ZWNOBZJWSA-N,CCCN1CCC[C@@H]2Cc3nc(N)ncc3C[C@H]21,1
IVQOFBKHQCTVQV-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,1
YIMFXBPXUPTIEJ-OUKQBFOZSA-N,CC[N+](CC)(CC)CCOc1ccc(/C=C/c2ccccc2)cc1,1
DZZWHBIBMUVIIW-DTORHVGOSA-N,C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1,1
XQLWNAFCTODIRK-UHFFFAOYSA-N,COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,1
ZTVIKZXZYLEVOL-DGKWVBSXSA-N,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(O)c1ccccc1)C2,0
AADCDMQTJNYOSS-LBPRGKRZSA-N,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,1
ZCGOMHNNNFPNMX-YHYDXASRSA-N,C[C@@H]1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1,1
CBEQULMOCCWAQT-WOJGMQOQSA-N,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,1
WSPOMRSOLSGNFJ-VGOFMYFVSA-N,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,1
AUVVAXYIELKVAI-CKBKHPSWSA-N,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,1
BBMULGJBVDDDNI-OWKLGTHSSA-M,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)[O-])[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,1
UURAUHCOJAIIRQ-OTIUGTKVSA-N,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)C(C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,1
AEMFNILZOJDQLW-QAGGRKNESA-N,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,1
WZHJKEUHNJHDLS-QTGUNEKASA-N,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,1
WSEQXVZVJXJVFP-FQEVSTJZSA-N,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1
AQHHHDLHHXJYJD-CQSZACIVSA-N,CC(C)NC[C@@H](O)COc1cccc2ccccc12,1
ITJNARMNRKSWTA-UHFFFAOYSA-N,CNCCC(Oc1ccccc1OC)c1ccccc1,1
NETZHAKZCGBWSS-CEDHKZHLSA-N,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,1
XEAQIWGXBXCYFX-GUOLPTJISA-N,COC1=CC(=O)O[C@@H](/C=C/c2ccccc2)C1,1
RSUVYMGADVXGOU-BUHFOSPRSA-N,CN(C)CCCSc1ccccc1NC(=O)/C=C/c1ccccc1,1
VGIGHGMPMUCLIQ-UHFFFAOYSA-N,O=S1(=O)c2cccc3cccc(c23)N1CCCN1CCN(c2ccc(F)cc2)CC1,1
FABPRXSRWADJSP-MEDUHNTESA-N,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0
ZDIGNSYAACHWNL-HNNXBMFYSA-N,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,1
XEEQGYMUWCZPDN-DOMZBBRYSA-N,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,1
BLSQLHNBWJLIBQ-OZXSUGGESA-N,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,1
